config,repetition,throughput_mean,latency_p50,latency_p90,latency_p99,error_rate,cpu_avg,cpu_peak,cpu_p95,load_avg_1m,total_queue,total_rejected,max_queue,write_queue,search_queue,duration
60_16-16,3,585448.3409657291,887.201275996631,1807.1732922107915,2399.061147934988,0.0,64.0,90,90.0,388.16520833333334,220,0,43,220,0,3600
60_16-16,4,581569.0561442934,840.415465994738,1951.64313649002,2643.725391860056,0.0,65.16666666666667,92,92.0,369.01499999999993,182,0,21,182,0,3600
90_28-28,1,508507.4705905067,1627.0435890037334,2612.315503880382,3539.065668403926,0.0,74.04166666666667,92,92.0,300.5916666666667,179,0,21,179,0,3600
60_28-28,4,498366.8869762285,1134.5226959965657,1866.4419571927283,2457.7525008667744,0.0,71.33333333333333,87,87.0,338.5083333333334,21,0,3,21,0,3600
60_28-28,3,521999.2040968102,1115.570599984494,1850.6361934996676,2513.8196265877937,0.0,73.33333333333333,90,90.0,350.8933333333333,61,0,13,61,0,3600
100_20-20,4,552148.56245261,1839.3962949921843,3035.816366004292,3963.847999292189,0.0,75.33333333333333,91,91.0,348.8734999999999,159,0,81,159,0,3600
100_20-20,3,552292.3545353133,1738.927115991828,2779.7674575005663,3676.0057880388927,0.0,75.33333333333333,91,91.0,326.6116666666667,359,0,68,359,0,3600
90_20-20,2,553596.5098794958,1566.692783497274,2600.903282308718,3332.830076632381,0.0,75.0,91,91.0,317.2783333333333,69,0,9,69,0,3600
90_16-16,1,547398.7080094164,1494.313562507159,2435.024621302728,3304.425039408964,0.0,77.0,93,93.0,276.215,97,0,12,97,0,3600
70_24-24,2,506948.0783035924,1388.4566650085617,2265.774438594235,2905.2912917290823,0.0,72.15972222222223,87,87.0,401.19999999999993,184,0,27,184,0,3600
80_32-32,4,532834.4774232925,1484.3202679767273,2371.902454202064,2998.671785534825,0.0,74.83333333333333,90,90.0,282.42833333333334,127,0,22,127,0,3600
80_32-32,3,538452.5769703028,1468.963425984839,2315.408057998866,2990.084082217072,0.0002966478789676654,74.83333333333333,90,90.0,303.605,41,0,5,41,0,3600
